aggregation,source,source_role,baseline,api_group,generation_seed,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,assertion_failure,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,timeout,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,missing_oracle,120,3,3,0,117,1.0,0.025
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,oracle_not_executed,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,fake_assertion,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,broad_exception_swallowing,120,3,0,3,117,0.0,0.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,target_not_executed,120,3,2,1,117,0.6666666666666666,0.016666666666666666
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,truncated_generation,120,120,120,0,0,1.0,1.0
baseline,events.checkpoint_2,campaign_checkpoint,B3,__ALL__,__ALL__,nondeterministic_failure,120,0,0,0,120,,0.0
baseline_group,events.checkpoint,campaign_checkpoint,B0,autograd_transform_compile_and_export,__ALL__,syntax_error,12,12,0,12,0,0.0,0.0
baseline_group,events.checkpoint,campaign_checkpoint,B0,autograd_transform_compile_and_export,__ALL__,wrong_or_missing_target_api,12,12,0,12,0,0.0,0.0
